,Acquisition Amount,Acquisition Date,Acquisition Method,Address,Asbestos Survey RFP Group,BTF Recommendation,Bid Price Contractor Amount,Case GTJ Photo Link,Current Status,Current Status Date,Demo Contractor,Demo Contractor Proceed Date,Demo RFP Group,Foreclosure Year,Grant Program,Knock Down Date,NTP Batch,NTP Date,Occupancy Model Last Update,Occupancy Model Probability,Parcel ID,Photo URL,Pipeline,Planned Knock Down Date,Program,Property Ownership,Sold - Auction,Sold - Direct Sale,Sold - Side Lot,Sold Date,Util Cut Status
870,,2014-01-23,Transfer-WCT,5784 Radnor,02272014D,Structure Removal,4072.0,http://www.gtjadmin.com/view_assets.asp?id=1871641,,2016-01-11,"Adamo Group, Inc.",,2C,2013,a07j0000003iIyrAAE,2014-06-30,HHF1 NTP 1,2014-04-14,,,21078294.,https://wdwot.s3.amazonaws.com/blexts/000/013/132/blext20131206-17307-1r1a9jp.jpg,Economic Development,2014-06-09,Economic Development,DLBA Owned,False,False,False,,Double Cut
871,,2016-01-13,Transfer-WCT,15329 Manor,,,0.0,,For Sale,2016-03-30,,,,,,,,,,,16045754.,https://wdwot.s3.amazonaws.com/blexts/000/378/551/blext.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
872,,2014-12-04,Transfer-City PDD,574 Kenilworth,,,0.0,,For Sale,2016-03-30,,,,,,,,,,,03002589.,https://wdwot.s3.amazonaws.com/blexts/000/674/574/e511f433ad668ab5.jpg?t=1476747043,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
873,,2015-06-16,Transfer-City PDD,2731 Halleck,,Structure Removal,0.0,,Vacant Land,2016-07-26,,,,2006,,,,,,,09005635.,https://wdwot.s3.amazonaws.com/blexts/000/378/660/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
874,,2016-01-13,Transfer-WCT,570 Kenilworth,,Structure Removal,0.0,http://www.gtjadmin.com/view_assets.asp?id=2104148,Sold,2016-07-21,,,,,,,,,2017-03-15,14.3120027430898,03002590.,https://wdwot.s3.amazonaws.com/blexts/000/674/573/5fb7506bd1e261c2.jpg?t=1476747043,Own It Now,,Own It Now,DLBA Owned,False,True,False,,No Cuts Confirmed
875,,2016-01-15,Transfer-WCT,17551 Annchester,,,0.0,,,2016-03-30,,,,,,,,,,,22092022.,https://wdwot.s3.amazonaws.com/blexts/000/017/627/blext20131209-22348-1gnm5fc.jpg,,,Side Lot,Formerly DLBA Owned,False,False,True,2016-03-19,No Cuts Confirmed
876,,2015-06-16,Transfer-City PDD,14931 Forrer,,,0.0,,For Sale,2016-03-30,,,,2012,,,,,,,22054477.,https://wdwot.s3.amazonaws.com/blexts/000/660/146/bf64b757e64d11af.jpg?t=1474603791,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
877,,2017-01-13,Transfer-WCT,637 Owen,,,0.0,,For Sale,2017-02-16,,,,,,,,,,,03002525.,https://wdwot.s3.amazonaws.com/blexts/000/675/150/4700741378cb2487.jpg?t=1476850175,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
878,,2014-12-04,Transfer-City PDD,3638 Zender,,Community Input,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,13001734.,https://wdwot.s3.amazonaws.com/blexts/000/166/811/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
879,,2015-01-06,Transfer-WCT,17200 Greenlawn,,,0.0,,Sales Review,2016-03-30,,,,2014,,,,,,,16029468.,https://wdwot.s3.amazonaws.com/blexts/000/017/666/blext20131209-22348-19j2yow.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
880,,2014-12-04,Transfer-City PDD,5390 Hereford,,,0.0,,,2016-03-30,,,,2007,,,,,,,21077110.,https://wdwot.s3.amazonaws.com/blexts/000/017/673/blext20131209-5328-1wcb4qd.jpg,,,Side Lot,Formerly DLBA Owned,False,False,True,2015-02-20,No Cuts Confirmed
881,,2014-12-04,Transfer-City PDD,18272 Hartwell,,,0.0,,For Sale,2016-03-30,,,,2009,,,,,,,22028819.,https://wdwot.s3.amazonaws.com/blexts/000/017/677/blext20131209-22348-1g4a92y.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
882,,2014-03-04,Transfer-City PDD,5518 Guilford,,Further Analysis,0.0,http://www.gtjadmin.com/view_assets.asp?id=1874172,Sales Review,2016-03-30,,,,2013,,,,,,,21075674.,https://wdwot.s3.amazonaws.com/blexts/000/017/680/blext20131209-25444-r95332.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
883,,2016-01-14,Transfer-City PDD,7136 Edward,,,0.0,,Vacant Land,2016-07-26,,,,2012,,,,,,,18001867.,https://wdwot.s3.amazonaws.com/blexts/000/017/717/blext20131209-5409-1uo3e9i.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
884,,2014-07-10,Transfer-City PDD,14886 Prevost,10132014C,Structure Removal,17400.0,http://www.gtjadmin.com/view_assets.asp?id=1874784,For Sale,2016-03-30,Homrich,,10D,2012,a07j0000003iIyrAAE,2014-12-16,HHF1 NTP 15,2014-09-26,,,22054947.,https://wdwot.s3.amazonaws.com/blexts/000/660/353/849e395c3b299313.jpg?t=1474603836,Side Lot,2014-12-16,Side Lot,DLBA Owned,False,False,False,,Double Cut
